COUNTY_NAME,PARTY_NAME,Adult Film Condom Requirements,Ban on Single-use Plastic Bags,Carryout Bag Charges,Cigarette Tax,Corporate Political Spending Advisory Question,Criminal Sentences & Juvenile Crime Proceedings,Death Penalty Procedure Time Limits,English Proficiency. Multilingual Education.,Firearms and Ammunition Sales,K-12 and Community College Facilities,Legislative Procedure Requirements,Marijuana Legalization,Medi-Cal Hospital Fee Program,Repeal of Death Penalty,State Prescription Drug Purchase Standards,Tax Extension for Education and Healthcare,Voter Approval of Revenue Bonds
Alameda,Democratic,0.42619847019917706,0.7039116027120272,0.4653614582010617,0.7451223129400378,0.6691676625876956,0.7712475048151293,0.397634637139625,0.8169882655972559,0.7700356959420621,0.6191715546029528,0.6506950060066355,0.6640402877514804,0.7669282143105542,0.6209910297119343,0.5787431780034373,0.7422603005618561,0.39092207245503546
Alpine,Democratic,0.31448763250883394,0.5487179487179488,0.30344827586206896,0.6184873949579832,0.6471631205673759,0.685025817555938,0.4338235294117647,0.7322970639032815,0.47278911564625853,0.5483870967741935,0.5342706502636204,0.622895622895623,0.6940559440559441,0.5205479452054794,0.4472271914132379,0.6305841924398625,0.4869109947643979
Amador,Republican,0.3605218311100664,0.3722669083493826,0.32432121491026233,0.44689423614997204,0.40765967616657706,0.4433559264111181,0.5596324871900583,0.5903655815550088,0.3257652773071275,0.3864894163290923,0.6262913522925131,0.48089171974522293,0.562521509693702,0.2925843719765523,0.3444623532120654,0.49206349206349204,0.5295582189797927
Butte,Republican,0.37512508934953537,0.49633064601901683,0.44429899059839234,0.5180609557255738,0.5073076923076923,0.571877236649539,0.5467085203811838,0.69268114541041,0.42044996285683967,0.5120221749500419,0.6734169712535809,0.533097951551744,0.6869665438018506,0.3888865096359743,0.3742507424088015,0.5949657243093744,0.5417395734124787
Calaveras,Republican,0.394676291450485,0.3884394572025052,0.34487473535638674,0.44103093670668214,0.4361672794117647,0.5316311309993857,0.600997506234414,0.6425498287821583,0.3334483948912668,0.4002120328650941,0.6577566488765305,0.4738435301641441,0.6007231174396286,0.28454892329283804,0.3545374449339207,0.5354758852393794,0.5633732984765167
Colusa,Republican,0.39564803049555275,0.3409657320872274,0.34084154544032536,0.4888144879013849,0.36161713007350593,0.4826415676593118,0.5460515777670991,0.6482737361282368,0.36890243902439024,0.46336206896551724,0.6103589420654912,0.4374712995560998,0.5866043613707165,0.2984406360969585,0.3315781322595633,0.5102389078498294,0.5384012539184952
Contra Costa,Democratic,0.4341495348570116,0.5818006361600028,0.4775231989650459,0.6884254377737097,0.5773240915379322,0.6923318101464261,0.48517579708697034,0.7605278756360789,0.694296584563646,0.5587655464408574,0.6292056280924984,0.6071583990762244,0.7033721995892619,0.5049321310669382,0.5129429022793952,0.6433736639740378,0.4569728713524555
Del Norte,Republican,0.4170712430845659,0.41987247608926676,0.42280004297840335,0.47570786751645594,0.4599310881404913,0.49520868824531517,0.5816856290732354,0.6483422459893048,0.32922979797979796,0.43676019289785184,0.6575858250276855,0.5949459997902905,0.5650890807738551,0.31915121637552246,0.43541507163950566,0.5592205530154583,0.5906136388674672
El Dorado,Republican,0.3601517089701295,0.4238056504527954,0.3702273000076385,0.5279226168940345,0.46568859441552296,0.5196430906000784,0.5865670963195344,0.624869041382923,0.39567180345097536,0.3849344978165939,0.6506358768406961,0.49934725155757453,0.5973374578799094,0.3334786256796958,0.39431146343083634,0.49880876920723044,0.5653985345366812
Fresno,Democratic,0.45667732488644514,0.4039565053169853,0.38037654700577744,0.5724934985792536,0.4483109034917912,0.4759009466837031,0.49926342625103043,0.6958555979759306,0.48770978560263384,0.5160190494844089,0.6335062831778784,0.47131745518962537,0.6417123732012266,0.37285585094113727,0.3671247160466242,0.5895472969531143,0.5088259218580731
