,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,1,0,3,1,22.0,1,0,7.25,-1,2
1,2,1,1,0,38.0,1,0,71.2833,81,0
2,3,1,3,0,26.0,0,0,7.925,-1,2
3,4,1,1,0,35.0,1,0,53.1,55,2
4,5,0,3,1,35.0,0,0,8.05,-1,2
5,6,0,3,1,29.69911764705882,0,0,8.4583,-1,1
6,7,0,1,1,54.0,0,0,51.8625,129,2
7,8,0,3,1,2.0,3,1,21.075,-1,2
8,9,1,3,0,27.0,0,2,11.1333,-1,2
9,10,1,2,0,14.0,1,0,30.0708,-1,0
10,11,1,3,0,4.0,1,1,16.7,145,2
11,12,1,1,0,58.0,0,0,26.55,49,2
12,13,0,3,1,20.0,0,0,8.05,-1,2
13,14,0,3,1,39.0,1,5,31.275,-1,2
14,15,0,3,0,14.0,0,0,7.8542,-1,2
15,16,1,2,0,55.0,0,0,16.0,-1,2
16,17,0,3,1,2.0,4,1,29.125,-1,1
17,18,1,2,1,29.69911764705882,0,0,13.0,-1,2
18,19,0,3,0,31.0,1,0,18.0,-1,2
19,20,1,3,0,29.69911764705882,0,0,7.225,-1,0
20,21,0,2,1,35.0,0,0,26.0,-1,2
21,22,1,2,1,34.0,0,0,13.0,111,2
22,23,1,3,0,15.0,0,0,8.0292,-1,1
23,24,1,1,1,28.0,0,0,35.5,13,2
24,25,0,3,0,8.0,3,1,21.075,-1,2
25,26,1,3,0,38.0,1,5,31.3875,-1,2
26,27,0,3,1,29.69911764705882,0,0,7.225,-1,0
27,28,0,1,1,19.0,3,2,263.0,63,2
28,29,1,3,0,29.69911764705882,0,0,7.8792,-1,1
29,30,0,3,1,29.69911764705882,0,0,7.8958,-1,2
30,31,0,1,1,40.0,0,0,27.7208,-1,0
31,32,1,1,0,29.69911764705882,1,0,146.5208,41,0
32,33,1,3,0,29.69911764705882,0,0,7.75,-1,1
33,34,0,2,1,66.0,0,0,10.5,-1,2
34,35,0,1,1,28.0,1,0,82.1708,-1,0
35,36,0,1,1,42.0,1,0,52.0,-1,2
36,37,1,3,1,29.69911764705882,0,0,7.2292,-1,0
37,38,0,3,1,21.0,0,0,8.05,-1,2
38,39,0,3,0,18.0,2,0,18.0,-1,2
39,40,1,3,0,14.0,1,0,11.2417,-1,0
40,41,0,3,0,40.0,1,0,9.475,-1,2
41,42,0,2,0,27.0,1,0,21.0,-1,2
42,43,0,3,1,29.69911764705882,0,0,7.8958,-1,0
43,44,1,2,0,3.0,1,2,41.5792,-1,0
44,45,1,3,0,19.0,0,0,7.8792,-1,1
45,46,0,3,1,29.69911764705882,0,0,8.05,-1,2
46,47,0,3,1,29.69911764705882,1,0,15.5,-1,1
47,48,1,3,0,29.69911764705882,0,0,7.75,-1,1
48,49,0,3,1,29.69911764705882,2,0,21.6792,-1,0
49,50,0,3,0,18.0,1,0,17.8,-1,2
50,51,0,3,1,7.0,4,1,39.6875,-1,2
51,52,0,3,1,21.0,0,0,7.8,-1,2
52,53,1,1,0,49.0,1,0,76.7292,101,0
53,54,1,2,0,29.0,1,0,26.0,-1,2
54,55,0,1,1,65.0,0,1,61.9792,23,0
55,56,1,1,1,29.69911764705882,0,0,35.5,71,2
56,57,1,2,0,21.0,0,0,10.5,-1,2
57,58,0,3,1,28.5,0,0,7.2292,-1,0
58,59,1,2,0,5.0,1,2,27.75,-1,2
59,60,0,3,1,11.0,5,2,46.9,-1,2
60,61,0,3,1,22.0,0,0,7.2292,-1,0
61,62,1,1,0,38.0,0,0,80.0,21,-1
62,63,0,1,1,45.0,1,0,83.475,80,2
63,64,0,3,1,4.0,3,2,27.9,-1,2
64,65,0,1,1,29.69911764705882,0,0,27.7208,-1,0
65,66,1,3,1,29.69911764705882,1,1,15.2458,-1,0
66,67,1,2,0,29.0,0,0,10.5,142,2
67,68,0,3,1,19.0,0,0,8.1583,-1,2
68,69,1,3,0,17.0,4,2,7.925,-1,2
69,70,0,3,1,26.0,2,0,8.6625,-1,2
70,71,0,2,1,32.0,0,0,10.5,-1,2
71,72,0,3,0,16.0,5,2,46.9,-1,2
72,73,0,2,1,21.0,0,0,73.5,-1,2
73,74,0,3,1,26.0,1,0,14.4542,-1,0
74,75,1,3,1,32.0,0,0,56.4958,-1,2
75,76,0,3,1,25.0,0,0,7.65,140,2
76,77,0,3,1,29.69911764705882,0,0,7.8958,-1,2
77,78,0,3,1,29.69911764705882,0,0,8.05,-1,2
78,79,1,2,1,0.83,0,2,29.0,-1,2
79,80,1,3,0,30.0,0,0,12.475,-1,2
80,81,0,3,1,22.0,0,0,9.0,-1,2
81,82,1,3,1,29.0,0,0,9.5,-1,2
82,83,1,3,0,29.69911764705882,0,0,7.7875,-1,1
83,84,0,1,1,28.0,0,0,47.1,-1,2
84,85,1,2,0,17.0,0,0,10.5,-1,2
85,86,1,3,0,33.0,3,0,15.85,-1,2
86,87,0,3,1,16.0,1,3,34.375,-1,2
87,88,0,3,1,29.69911764705882,0,0,8.05,-1,2
88,89,1,1,0,23.0,3,2,263.0,63,2
89,90,0,3,1,24.0,0,0,8.05,-1,2
90,91,0,3,1,29.0,0,0,8.05,-1,2
91,92,0,3,1,20.0,0,0,7.8542,-1,2
92,93,0,1,1,46.0,1,0,61.175,122,2
93,94,0,3,1,26.0,1,2,20.575,-1,2
94,95,0,3,1,59.0,0,0,7.25,-1,2
95,96,0,3,1,29.69911764705882,0,0,8.05,-1,2
96,97,0,1,1,71.0,0,0,34.6542,12,0
97,98,1,1,1,23.0,0,1,63.3583,91,0
98,99,1,2,0,34.0,0,1,23.0,-1,2
99,100,0,2,1,34.0,1,0,26.0,-1,2
100,101,0,3,0,28.0,0,0,7.8958,-1,2
101,102,0,3,1,29.69911764705882,0,0,7.8958,-1,2
102,103,0,1,1,21.0,0,1,77.2875,98,2
103,104,0,3,1,33.0,0,0,8.6542,-1,2
104,105,0,3,1,37.0,2,0,7.925,-1,2
105,106,0,3,1,28.0,0,0,7.8958,-1,2
106,107,1,3,0,21.0,0,0,7.65,-1,2
107,108,1,3,1,29.69911764705882,0,0,7.775,-1,2
108,109,0,3,1,38.0,0,0,7.8958,-1,2
109,110,1,3,0,29.69911764705882,1,0,24.15,-1,1
110,111,0,1,1,47.0,0,0,52.0,52,2
111,112,0,3,0,14.5,1,0,14.4542,-1,0
112,113,0,3,1,22.0,0,0,8.05,-1,2
113,114,0,3,0,20.0,1,0,9.825,-1,2
114,115,0,3,0,17.0,0,0,14.4583,-1,0
115,116,0,3,1,21.0,0,0,7.925,-1,2
116,117,0,3,1,70.5,0,0,7.75,-1,1
117,118,0,2,1,29.0,1,0,21.0,-1,2
118,119,0,1,1,24.0,0,1,247.5208,36,0
119,120,0,3,0,2.0,4,2,31.275,-1,2
120,121,0,2,1,21.0,2,0,73.5,-1,2
121,122,0,3,1,29.69911764705882,0,0,8.05,-1,2
122,123,0,2,1,32.5,1,0,30.0708,-1,0
123,124,1,2,0,32.5,0,0,13.0,116,2
124,125,0,1,1,54.0,0,1,77.2875,98,2
125,126,1,3,1,12.0,1,0,11.2417,-1,0
126,127,0,3,1,29.69911764705882,0,0,7.75,-1,1
127,128,1,3,1,24.0,0,0,7.1417,-1,2
128,129,1,3,0,29.69911764705882,1,1,22.3583,138,0
129,130,0,3,1,45.0,0,0,6.975,-1,2
130,131,0,3,1,33.0,0,0,7.8958,-1,0
131,132,0,3,1,20.0,0,0,7.05,-1,2
132,133,0,3,0,47.0,1,0,14.5,-1,2
133,134,1,2,0,29.0,1,0,26.0,-1,2
134,135,0,2,1,25.0,0,0,13.0,-1,2
135,136,0,2,1,23.0,0,0,15.0458,-1,0
136,137,1,1,0,19.0,0,2,26.2833,107,2
137,138,0,1,1,37.0,1,0,53.1,55,2
138,139,0,3,1,16.0,0,0,9.2167,-1,2
139,140,0,1,1,24.0,0,0,79.2,45,0
140,141,0,3,0,29.69911764705882,0,2,15.2458,-1,0
141,142,1,3,0,22.0,0,0,7.75,-1,2
142,143,1,3,0,24.0,1,0,15.85,-1,2
143,144,0,3,1,19.0,0,0,6.75,-1,1
144,145,0,2,1,18.0,0,0,11.5,-1,2
145,146,0,2,1,19.0,1,1,36.75,-1,2
146,147,1,3,1,27.0,0,0,7.7958,-1,2
147,148,0,3,0,9.0,2,2,34.375,-1,2
148,149,0,2,1,36.5,0,2,26.0,141,2
149,150,0,2,1,42.0,0,0,13.0,-1,2
150,151,0,2,1,51.0,0,0,12.525,-1,2
151,152,1,1,0,22.0,1,0,66.6,61,2
152,153,0,3,1,55.5,0,0,8.05,-1,2
153,154,0,3,1,40.5,0,2,14.5,-1,2
154,155,0,3,1,29.69911764705882,0,0,7.3125,-1,2
155,156,0,1,1,51.0,0,1,61.3792,-1,0
156,157,1,3,0,16.0,0,0,7.7333,-1,1
157,158,0,3,1,30.0,0,0,8.05,-1,2
158,159,0,3,1,29.69911764705882,0,0,8.6625,-1,2
159,160,0,3,1,29.69911764705882,8,2,69.55,-1,2
160,161,0,3,1,44.0,0,1,16.1,-1,2
161,162,1,2,0,40.0,0,0,15.75,-1,2
162,163,0,3,1,26.0,0,0,7.775,-1,2
163,164,0,3,1,17.0,0,0,8.6625,-1,2
